,Combination,P2,P3,P4,P5,P6,P7,P8,P9
3300,pEXG1-N30_OP-UAS_BEA,6,61,651,31,15,3,7,1
3301,pEXG1-N30_OP-UAS_BEB,0,1,2,0,0,0,0,0
3302,pEXG1-N30_OP-UAS_BEC,133,2404,2799,217,73,43,36,16
3303,pEXG1-N30_OP-UAS_BED,20,72,2400,289,77,20,7,5
3304,pEXG1-N30_OP-UAS_BEE,0,4,21,3,1,2,1,0
3305,pEXG1-N30_OP-UAS_BEF,49,147,2861,217,71,47,12,3
3306,pEXG1-N30_OP-UAS_BFA,17,411,1517,337,57,22,5,4
3307,pEXG1-N30_OP-UAS_BFB,0,0,4,6,0,0,0,0
3308,pEXG1-N30_OP-UAS_BFC,23,283,619,54,13,6,6,2
3309,pEXG1-N30_OP-UAS_BFD,41,44,1304,1945,210,45,15,5
3310,pEXG1-N30_OP-UAS_BFE,0,4,102,98,13,1,1,0
3311,pEXG1-N30_OP-UAS_BFF,15,24,851,1057,117,37,6,2
3312,pEXG1-N30_OP-UAS_CAA,0,0,0,6,4,4,0,0
3313,pEXG1-N30_OP-UAS_CAB,0,1,1,3,2,1,0,0
3314,pEXG1-N30_OP-UAS_CAC,80,2095,1949,234,88,47,39,17
3315,pEXG1-N30_OP-UAS_CAD,54,35,136,1063,1532,258,22,8
3316,pEXG1-N30_OP-UAS_CAE,0,0,14,8,3,4,2,0
3317,pEXG1-N30_OP-UAS_CAF,43,123,1695,6699,1651,282,55,21
3318,pEXG1-N30_OP-UAS_CBA,13,19,65,329,1392,365,25,6
3319,pEXG1-N30_OP-UAS_CBB,0,15,0,0,12,40,1,0
3320,pEXG1-N30_OP-UAS_CBC,230,1870,18899,2478,545,420,93,52
3321,pEXG1-N30_OP-UAS_CBD,24,33,128,86,1387,1544,341,20
3322,pEXG1-N30_OP-UAS_CBE,1,14,41,34,487,244,1,2
3323,pEXG1-N30_OP-UAS_CBF,202,261,460,582,7878,19004,1361,148
3324,pEXG1-N30_OP-UAS_CCA,3,8,84,14,2,0,0,1
3325,pEXG1-N30_OP-UAS_CCB,0,3,12,2,3,0,0,0
3326,pEXG1-N30_OP-UAS_CCC,3709,81729,176259,23873,4143,2291,947,637
3327,pEXG1-N30_OP-UAS_CCD,4,36,198,160,334,55,3,3
3328,pEXG1-N30_OP-UAS_CCE,3,31,73,11,2,9,0,0
3329,pEXG1-N30_OP-UAS_CCF,25,27,114,196,1642,842,97,12
3330,pEXG1-N30_OP-UAS_CDA,2,1,28,113,15,2,0,0
3331,pEXG1-N30_OP-UAS_CDB,0,0,0,1,2,2,0,0
3332,pEXG1-N30_OP-UAS_CDC,187,2437,2254,304,81,59,28,10
3333,pEXG1-N30_OP-UAS_CDD,13,24,100,936,1424,75,14,3
3334,pEXG1-N30_OP-UAS_CDE,6,107,244,349,158,24,7,1
3335,pEXG1-N30_OP-UAS_CDF,108,79,371,2532,3777,1105,134,20
3336,pEXG1-N30_OP-UAS_CEA,37,9,322,334,29,6,1,0
3337,pEXG1-N30_OP-UAS_CEB,0,2,7,0,0,0,0,0
3338,pEXG1-N30_OP-UAS_CEC,113,1199,1221,118,63,47,18,17
